"EstacaoAno"	"Regiao"	"PhChuva"	"UmidadeAr_%"	"Temperatura_C"	"Temperatura_CAT"	"Localidade"	"VolumeChuva_mm/h"	"IntensidadeVento_km/h"	"IntensidadeVento_CAT"	"AlertaDefesaCivil"	"PhChuva_Cat"	"IntensidadeChuva"
"Verao"	"Centro-Oeste"	4	44.64094027228894	28	"Alta"	"Urbana"	10	7	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Centro-Oeste"	6	42.68055493228732	21	"Alta"	"Rural"	10	19	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sul"	0	61.018744072440214	31	"Alta"	"Urbana"	20	108	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Nordeste"	8	60.434098187730605	7	"Media"	"Urbana"	25	38	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Sudeste"	4	25.492537323414876	15	"Media"	"Rural"	9	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Centro-Oeste"	4	41.17193214550744	23	"Alta"	"Urbana"	11	16	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
Verao	Norte	7	15.835864837003026	24	Alta	Rural	12	16	Moderado	NaoAtivou	Neutra	Moderada
Outono	Norte	7	12.1421923243674	-8	Baixa	Rural	30	1	Moderado	NaoAtivou	Neutra	Moderada
"Verao"	"Centro-Oeste"	4	44.62650114345729	24	"Alta"	"Urbana"	11	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	12	16.25106749309383	32	"Alta"	"Rural"	13	121	"Furacao"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Centro-Oeste"	4	42.942092336775616	24	"Alta"	"Rural"	11	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sudeste"	3	31.373742141624295	17	"Media"	"Urbana"	1	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Muito Forte"
"Outono"	"Nordeste"	7	69.43737528479791	1	"Media"	"Urbana"	26	27	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Outono"	"Nordeste"	6	63.21794506774238	9	"Media"	"Urbana"	28	25	"Forte"	"NaoAtivou"	"Acida"	"Forte"
"Inverno"	"Norte"	12	17.294331683954145	-12	"Baixa"	"Urbana"	25	6	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Sudeste"	4	33.17102422902323	19	"Media"	"Rural"	27	86	"Massivo"	"NaoAtivou"	"Acida"	"Forte"
"Outono"	"Nordeste"	8	69.26435828659517	6	"Media"	"Urbana"	29	21	"Forte"	"NaoAtivou"	"Base"	"Forte"
"Inverno"	"Norte"	9	15.915944413212609	-4	"Baixa"	"Rural"	24	19	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	7	68.91804968255573	3	"Media"	"Urbana"	28	33	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Outono"	"Norte"	9	10.82114177210421	-7	"Baixa"	"Rural"	12	116	"Massivo"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	8	60.43926592800545	1	"Media"	"Urbana"	29	6	"Moderado"	"NaoAtivou"	"Base"	"Forte"
"Verao"	"Norte"	7	30.790024421772003	19	"Media"	"Rural"	3	73	"Muito Forte"	"NaoAtivou"	"Neutra"	"Muito Forte"
"Outono"	"Nordeste"	7	60.31539718667542	4	"Media"	"Urbana"	29	19	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"
"Inverno"	"Sudeste"	4	34.06597092963845	19	"Media"	"Urbana"	6	72	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Centro-Oeste"	5	42.18576614779978	28	"Alta"	"Rural"	10	17	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sudeste"	12	30.1889006637437	18	"Media"	"Rural"	26	78	"Muito Forte"	"NaoAtivou"	"Base"	"Forte"
"Inverno"	"Norte"	7	27.220470315995072	16	"Media"	"Urbana"	3	88	"Massivo"	"Ativou"	"Neutra"	"Forte"
"Verao"	"Sul"	2	1.2233046953540088	28	"Alta"	"Urbana"	21	98	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sul"	1	61.018744072440214	34	"Alta"	"Urbana"	24	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Centro-Oeste"	5	44.90518869076633	22	"Alta"	"Urbana"	10	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
Inverno	Norte	7	13.294467044111883	-14	Baixa	Rural	25	105	Massivo	NaoAtivou	Neutra	Moderada
"Inverno"	"Nordeste"	6	66.65190126974571	2	"Media"	"Urbana"	27	3	"Moderado"	"NaoAtivou"	"Acida"	"Forte"
"Outono"	"Centro-Oeste"	5	42.427281567723824	25	"Alta"	"Urbana"	11	18	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	2	29.626136698186205	17	"Media"	"Urbana"	2	81	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Outono"	"Centro-Oeste"	12	41.96708318651971	21	"Alta"	"Rural"	10	19	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Nordeste"	7	65.25980140767155	6	"Media"	"Urbana"	27	27	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Inverno"	"Norte"	13	15.288957171367372	-10	"Baixa"	"Rural"	25	4	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Sudeste"	3	28.224883884489124	18	"Media"	"Urbana"	6	74	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Nordeste"	7	65.51387329540447	9	"Media"	"Urbana"	28	35	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Outono"	"Nordeste"	6	68.47866957858565	5	"Media"	"Urbana"	25	32	"Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Sudeste"	2	31.575777141791367	18	"Media"	"Urbana"	26	78	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"
"Outono"	"Sul"	2	61.018744072440214	29	"Alta"	"Rural"	20	98	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Norte"	12	15.949476477947371	22	"Alta"	"Urbana"	13	15	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Norte"	12	14.599321020542186	28	"Alta"	"Rural"	13	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Centro-Oeste"	6	43.89105426797613	26	"Alta"	"Urbana"	11	4	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Norte"	13	10.202739703712176	26	"Alta"	"Rural"	13	27	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Norte"	13	15.772875176688082	-12	"Baixa"	"Rural"	25	19	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Sul"	0	74.4687539822747935	29	"Alta"	"Rural"	20	31	"Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sul"	1	61.018744072440214	32	"Alta"	"Rural"	23	109	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	2	33.05809296676343	15	"Media"	"Rural"	3	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
Inverno	Nordeste	7	63.87198053	6	Media	Rural	25	80	Muito Forte	NaoAtivou	Neutra	Moderada
"Primavera"	"Centro-Oeste"	4	42.939426403414075	23	"Alta"	"Rural"	11	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sul"	0	4.9419717028966605	31	"Alta"	"Rural"	21	102	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Verao"	"Centro-Oeste"	5	41.4405603238192	21	"Alta"	"Urbana"	11	3	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sudeste"	4	28.469348598113235	15	"Media"	"Rural"	7	96	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Sul"	1	61.018744072440214	34	"Alta"	"Urbana"	20	112	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sudeste"	10	30.424712022803554	15	"Media"	"Urbana"	8	88	"Massivo"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Sudeste"	4	29.94404976384766	19	"Media"	"Rural"	2	84	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Nordeste"	8	60.27300327450535	0	"Baixa"	"Urbana"	25	4	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Sul"	13	61.018744072440214	29	"Alta"	"Rural"	21	98	"Massivo"	"Ativou"	"Base"	"Moderada"
"Outono"	"Nordeste"	6	64.76042131472832	1	"Media"	"Urbana"	27	19	"Moderado"	"NaoAtivou"	"Acida"	"Forte"
"Inverno"	"Nordeste"	7	60.90223131858651	9	"Media"	"Urbana"	25	11	"Moderado"	"NaoAtivou"	"Neutra"	"Moderada"
"Inverno"	"Nordeste"	7	63.00687337963011	3	"Media"	"Urbana"	25	28	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"
"Primavera"	"Centro-Oeste"	6	41.06199643161852	24	"Alta"	"Rural"	10	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
Outono	Nordeste	8	66.34922119	5	Media	Rural	29	75	Muito Forte	NaoAtivou	Base	Forte
"Outono"	"Nordeste"	6	60.81175927081152	6	"Media"	"Urbana"	29	8	"Moderado"	"NaoAtivou"	"Acida"	"Forte"
Primavera	Nordeste	7	61.13409174	0	Baixa	Rural	29	70	Muito Forte	NaoAtivou	Neutra	Forte
"Verao"	"Sudeste"	3	26.124326407359582	16	"Media"	"Urbana"	23	86	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Norte"	2	31.239941510019296	18	"Media"	"Urbana"	26	98	"Massivo"	"NaoAtivou"	"Acida"	"Forte"
"Outono"	"Sudeste"	4	30.086074488945194	15	"Media"	"Urbana"	5	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Norte"	7	27.870570090149688	15	"Media"	"Rural"	3	76	"Muito Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Primavera"	"Sudeste"	2	33.27255377487903	17	"Media"	"Rural"	21	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
Inverno	Nordeste	7	61.01874407	2	Media	Rural	25	65	Muito Forte	NaoAtivou	Neutra	Moderada
Verao	Norte	9	15.41982043	-7	Baixa	Rural	12	127	Furacao	Ativou	Base	Moderada
"Inverno"	"Sudeste"	2	29.18095059914883	19	"Media"	"Urbana"	5	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sul"	0	3.1271161611628644	27	"Alta"	"Urbana"	21	31	"Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Norte"	12	14.450212893159229	-10	"Baixa"	"Rural"	25	27	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Sudeste"	3	29.664976819373987	16	"Media"	"Urbana"	2	87	"Massivo"	"Ativou"	"Acida"	"Muito Forte"
"Primavera"	"Sudeste"	2	28.401732711809714	15	"Media"	"Rural"	6	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	12	12.66812598665803	29	"Alta"	"Rural"	13	15	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Sul"	1	1.0361343226358937	26	"Alta"	"Rural"	24	94	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Outono"	"Norte"	9	16.33215626702239	-13	"Baixa"	"Rural"	13	21	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Centro-Oeste"	4	41.8204105834365	23	"Alta"	"Urbana"	11	1	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	3	34.830509994879804	15	"Media"	"Urbana"	4	83	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Inverno"	"Norte"	12	16.990364619681788	-13	"Baixa"	"Rural"	25	24	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Sul"	1	3.7908766319316696	29	"Alta"	"Rural"	22	113	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
Verao	Nordeste	6	65.64966765	8	Media	Rural	25	60	Muito Forte	NaoAtivou	Acida	Moderada
"Primavera"	"Norte"	10	10.170943576623717	-5	"Baixa"	"Rural"	13	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	8	67.94169156535547	4	"Media"	"Urbana"	27	12	"Moderado"	"NaoAtivou"	"Base"	"Forte"
Inverno	Nordeste	8	61.30958088	-10	Baixa	Rural	28	75	Muito Forte	NaoAtivou	Base	Forte
"Primavera"	"Norte"	10	18.04321628223704	-10	"Baixa"	"Urbana"	12	105	"Massivo"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Sul"	0	2.0732417369280407	26	"Alta"	"Rural"	21	105	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Centro-Oeste"	5	41.25865540941168	28	"Alta"	"Rural"	11	7	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Centro-Oeste"	4	43.20480414769335	27	"Alta"	"Rural"	10	3	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Centro-Oeste"	5	40.66108237295967	22	"Alta"	"Rural"	11	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Centro-Oeste"	6	43.57924385278104	21	"Alta"	"Urbana"	11	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sul"	13	2.185001645627062	34	"Alta"	"Rural"	20	102	"Massivo"	"Ativou"	"Base"	"Moderada"
Inverno	Norte	7	18.59120671461936	-10	Baixa	Rural	12	16	Moderado	NaoAtivou	Neutra	Moderada
"Outono"	"Sudeste"	11	27.873557048251737	16	"Media"	"Urbana"	25	92	"Massivo"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	8	64.12493656839588	5	"Media"	"Urbana"	27	30	"Forte"	"NaoAtivou"	"Base"	"Forte"
"Primavera"	"Sudeste"	4	25.5089237892716	17	"Media"	"Urbana"	7	78	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Sudeste"	3	31.53355814127051	17	"Media"	"Rural"	26	80	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"
"Inverno"	"Nordeste"	8	69.53773624365193	7	"Media"	"Urbana"	25	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	7	62.49239892796222	1	"Media"	"Urbana"	25	34	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"
"Outono"	"Sudeste"	4	27.10521404972221	15	"Media"	"Rural"	2	86	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Norte"	9	14.06021397290657	-13	"Baixa"	"Rural"	13	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	7	64.50415679761613	1	"Media"	"Urbana"	26	7	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"
"Outono"	"Norte"	12	10.66295282917653	-15	"Baixa"	"Urbana"	12	118	"Furacao"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Norte"	13	10.121067940126798	50	"Alta"	"Urbana"	12	3	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Centro-Oeste"	5	43.132741563091265	21	"Alta"	"Rural"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Sudeste"	4	29.95245862628615	18	"Media"	"Rural"	7	96	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	3	25.459742616702354	17	"Media"	"Urbana"	1	70	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"
"Inverno"	"Sul"	0	4.203828055690302	27	"Alta"	"Urbana"	23	115	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Nordeste"	7	66.3848130697817	9	"Media"	"Urbana"	25	6	"Moderado"	"NaoAtivou"	"Neutra"	"Moderada"
"Primavera"	"Norte"	11	11.726402168278325	40	"Alta"	"Urbana"	25	13	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Norte"	9	14.409222753737907	25	"Alta"	"Rural"	12	16	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Sudeste"	3	27.514024819918312	15	"Media"	"Urbana"	4	97	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"
"Outono"	"Sudeste"	2	26.35572799422873	15	"Media"	"Urbana"	9	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
Inverno	Norte	7	15.858662889847858	-4	Baixa	Rural	13	106	Massivo	NaoAtivou	Neutra	Moderada
"Inverno"	"Norte"	12	17.185584440746332	23	"Alta"	"Rural"	12	28	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Norte"	12	19.074271516995818	-5	"Baixa"	"Urbana"	25	3	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Sul"	2	3.029232786325797	33	"Alta"	"Rural"	20	104	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Sudeste"	12	30.935166606802056	17	"Media"	"Urbana"	6	97	"Massivo"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Sul"	0	3.140941405735413	33	"Alta"	"Rural"	22	95	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
Verao	Norte	14	15.25223582	20	Media	Rural	4	127	Furacao	Ativou	Base	Moderada
"Inverno"	"Nordeste"	8	61.30958087838725	0	"Baixa"	"Rural"	28	55	"Forte"	"NaoAtivou"	"Base"	"Forte"
"Outono"	"Sul"	1	1.9066799506647847	27	"Alta"	"Rural"	24	107	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Norte"	10	16.139727340408143	22	"Alta"	"Urbana"	12	23	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Norte"	9	12.354472186353291	-11	"Baixa"	"Rural"	12	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Norte"	12	10.034536271030683	-9	"Baixa"	"Rural"	13	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Sul"	1	1.2203902459069678	30	"Alta"	"Rural"	22	21	"Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Nordeste"	7	67.86707251952673	5	"Media"	"Urbana"	29	37	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
Verao	Nordeste	6	62.08600661	9	Media	Rural	29	50	Forte	NaoAtivou	Acida	Forte
"Primavera"	"Norte"	11	14.827920382253456	-10	"Baixa"	"Urbana"	12	1	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Centro-Oeste"	5	40.126000333612595	22	"Alta"	"Urbana"	11	15	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sul"	0	2.3031407062088	31	"Alta"	"Urbana"	21	109	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
Inverno	Nordeste	7	60.90496601	3	Media	Rural	26	45	Forte	NaoAtivou	Neutra	Forte
"Verao"	"Sudeste"	4	31.692547721495707	15	"Media"	"Urbana"	2	84	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"
"Verao"	"Nordeste"	7	66.49738756327132	9	"Media"	"Urbana"	27	27	"Forte"	"NaoAtivou"	"Neutra"	"Forte"
"Primavera"	"Centro-Oeste"	4	40.82743415421494	21	"Alta"	"Rural"	11	16	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sudeste"	2	30.735251464159795	16	"Media"	"Rural"	9	82	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	9	14.019661551194616	24	"Alta"	"Urbana"	12	127	"Furacao"	"NaoAtivou"	"Base"	"Moderada"
Primavera	Nordeste	7	60.54576337	3	Media	Rural	27	40	Forte	NaoAtivou	Neutra	Forte
"Inverno"	"Sudeste"	3	33.76345624776545	17	"Media"	"Rural"	22	80	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Nordeste"	8	67.67237902371565	9	"Media"	"Urbana"	25	17	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Norte"	9	18.538088090883775	-12	"Baixa"	"Rural"	13	20	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Sudeste"	2	33.430837466977934	17	"Media"	"Rural"	2	95	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Nordeste"	8	68.9450931034588	4	"Media"	"Urbana"	25	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Nordeste"	6	69.27286321625031	2	"Media"	"Urbana"	29	9	"Moderado"	"NaoAtivou"	"Acida"	"Forte"
Outono	Norte	7	17.092405543349283	-3	Baixa	Urbana	12	121	Furacao	Ativou	Neutra	Moderada
"Primavera"	"Norte"	13	19.666783187320274	-14	"Baixa"	"Urbana"	12	1	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Norte"	11	18.253778402993227	-6	"Baixa"	"Urbana"	13	16	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Sul"	0	3.9678165378287478	29	"Alta"	"Rural"	24	112	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sudeste"	4	31.64500356585732	16	"Media"	"Urbana"	4	88	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Outono"	"Norte"	10	10.284822874487014	-13	"Baixa"	"Rural"	12	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Sudeste"	12	33.309510414924894	18	"Media"	"Urbana"	26	75	"Muito Forte"	"NaoAtivou"	"Base"	"Forte"
"Inverno"	"Centro-Oeste"	6	42.59351452487601	27	"Alta"	"Urbana"	11	15	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	3	27.84548697534499	16	"Media"	"Urbana"	29	85	"Massivo"	"NaoAtivou"	"Acida"	"Forte"
"Inverno"	"Sudeste"	4	26.2973782450741	17	"Media"	"Urbana"	7	92	"Massivo"	"Ativou"	"Acida"	"Moderada"
Inverno	Nordeste	6	67.31577457	1	Media	Rural	29	35	Forte	NaoAtivou	Acida	Forte
"Verao"	"Norte"	10	13.141845117522681	31	"Alta"	"Urbana"	13	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Primavera"	"Centro-Oeste"	6	43.44454029103885	25	"Alta"	"Rural"	10	4	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Nordeste"	6	64.70175533186615	4	"Media"	"Urbana"	29	36	"Forte"	"NaoAtivou"	"Acida"	"Forte"
"Outono"	"Sudeste"	2	29.207019461571207	19	"Media"	"Urbana"	8	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Inverno"	"Centro-Oeste"	6	44.63140924147796	23	"Alta"	"Urbana"	11	114	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Inverno"	"Sul"	0	1.6013858606880254	30	"Alta"	"Urbana"	23	108	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Primavera"	"Norte"	2	13.45512338198736	-13	"Baixa"	"Urbana"	25	1	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sudeste"	4	28.11496174348664	17	"Media"	"Urbana"	6	91	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Norte"	9	19.708568692544368	-7	"Baixa"	"Rural"	13	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Centro-Oeste"	5	43.03079251820507	26	"Alta"	"Urbana"	10	17	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sul"	1	2.4391167615942164	32	"Alta"	"Urbana"	20	105	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Centro-Oeste"	12	43.39886842081862	28	"Alta"	"Urbana"	11	5	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Inverno"	"Nordeste"	7	65.5698430202373	2	"Media"	"Urbana"	26	10	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"
"Inverno"	"Nordeste"	6	68.75626977723367	4	"Media"	"Urbana"	25	33	"Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sul"	1	4.137964388999538	26	"Alta"	"Rural"	23	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sul"	2	3.649836533243323	29	"Alta"	"Urbana"	22	98	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Sudeste"	3	30.650828923231316	17	"Media"	"Urbana"	8	70	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Centro-Oeste"	6	41.42073290832552	28	"Alta"	"Urbana"	10	17	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Primavera"	"Sudeste"	3	28.306556825703563	18	"Media"	"Rural"	26	92	"Massivo"	"NaoAtivou"	"Acida"	"Forte"
Outono	Nordeste	6	66.89576442	8	Media	Rural	27	30	Forte	NaoAtivou	Acida	Forte
"Inverno"	"Centro-Oeste"	4	43.02140191804796	20	"Media"	"Rural"	11	18	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	10	15.554844524750088	-6	"Baixa"	"Rural"	12	6	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
