"EstacaoAno"	"Regiao"	"PhChuva"	"MediaUmidadeAr_%"	"Temperatura_C"	"Temperatura_CAT"	"Localidade"	"VolumeChuva_mm/h"	"IntensidadeVento_km/h"	"IntensidadeVento_CAT"	"AlertaDefesaCivil"	"PhChuva_Cat"	"IntensidadeChuva"	"NumeroVitimas"
"Primavera"	"Nordeste"	8	63.783160994162685	8	"Mediana"	"Rural"	27	32	"Forte"	"NaoAtivou"	"Base"	"Forte"	244
"Outono"	"Nordeste"	7	60.677396309808614	6	"Mediana"	"Urbana"	28	18	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	122
"Outono"	"Sul"	1	2.6182991455070734	28	"Alta"	"Rural"	23	27	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	199
"Verao"	"Norte"	9	10.828154366533047	27	"Alta"	"Urbana"	25	23	"Forte"	"NaoAtivou"	"Base"	"Moderada"	192
"Inverno"	"Nordeste"	7	61.81128462351	0	"Baixa"	"Urbana"	26	3	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	128
"Outono"	"Nordeste"	7	69.6415825736621	4	"Mediana"	"Rural"	26	19	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	101
"Verao"	"Nordeste"	8	67.73901289848372	4	"Mediana"	"Urbana"	26	14	"Moderado"	"NaoAtivou"	"Base"	"Forte"	177
"Outono"	"Sudeste"	3	33.99737027951616	19	"Mediana"	"Urbana"	4	85	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"	138
"Outono"	"Nordeste"	7	67.83425543429675	5	"Mediana"	"Urbana"	29	25	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	226
"Primavera"	"Norte"	9	10.77308214313971	27	"Alta"	"Urbana"	12	25	"Forte"	"NaoAtivou"	"Base"	"Moderada"	192
"Verao"	"Nordeste"	8	69.81750372777864	1	"Mediana"	"Rural"	29	33	"Forte"	"NaoAtivou"	"Base"	"Forte"	157
"Inverno"	"Centro-Oeste"	4	40.172680834359724	21	"Alta"	"Urbana"	11	15	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	176
"Primavera"	"Sudeste"	4	26.182778628076637	17	"Mediana"	"Rural"	9	90	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	94
"Outono"	"Sudeste"	4	34.82004595271125	17	"Mediana"	"Urbana"	2	73	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	126
"Inverno"	"Sul"	1	3.1712263151731817	25	"Alta"	"Rural"	20	93	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	81
"Primavera"	"Centro-Oeste"	5	41.057312410029304	23	"Alta"	"Rural"	10	12	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	130
"Inverno"	"Sudeste"	3	29.690834596056465	16	"Mediana"	"Urbana"	3	74	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	134
"Outono"	"Norte"	9	18.31579090035447	21	"Alta"	"Urbana"	24	4	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	172
"Inverno"	"Sul"	1	1.5063797816574853	29	"Alta"	"Urbana"	20	119	"Furacao"	"NaoAtivou"	"Acida"	"Moderada"	459
"Primavera"	"Sudeste"	4	33.205669697627116	18	"Mediana"	"Rural"	3	81	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"	53
"Verao"	"Sudeste"	4	25.333201414928432	18	"Mediana"	"Urbana"	7	76	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	129
"Outono"	"Centro-Oeste"	5	42.07815862897189	27	"Alta"	"Urbana"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	137
"Outono"	"Nordeste"	6	66.72062616330295	0	"Baixa"	"Rural"	26	19	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	110
"Inverno"	"Sudeste"	3	29.618507313406184	18	"Mediana"	"Urbana"	4	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	91
"Primavera"	"Sul"	2	2.8349295412844002	32	"Alta"	"Rural"	22	27	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	157
"Primavera"	"Sudeste"	3	29.779037296571992	17	"Mediana"	"Rural"	1	70	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	120
"Verao"	"Centro-Oeste"	5	43.57183648992169	25	"Alta"	"Urbana"	11	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	168
"Verao"	"Sul"	1	4.414368358933201	32	"Alta"	"Urbana"	24	117	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	99
"Primavera"	"Norte"	10	11.77166897904636	-7	"Baixa"	"Urbana"	12	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	161
"Outono"	"Sul"	1	3.519081158857561	29	"Alta"	"Urbana"	24	116	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	61
"Outono"	"Sul"	2	1.9686610674026843	33	"Alta"	"Urbana"	22	115	"Massivo"	"Ativou"	"Acida"	"Moderada"	589
"Verao"	"Nordeste"	8	62.41759603194568	7	"Mediana"	"Urbana"	28	27	"Forte"	"NaoAtivou"	"Base"	"Forte"	195
"Primavera"	"Norte"	13	11.457427290741741	32	"Alta"	"Urbana"	12	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	115
"Primavera"	"Norte"	2	11.615815519592019	31	"Alta"	"Urbana"	12	22	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	220
"Inverno"	"Centro-Oeste"	5	40.32847923695511	26	"Alta"	"Urbana"	11	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	169
"Inverno"	"Nordeste"	8	67.5924687771858	3	"Mediana"	"Urbana"	25	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	139
"Verao"	"Sul"	1	2.14970704064785	29	"Alta"	"Rural"	22	107	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	76
"Inverno"	"Nordeste"	7	60.770512008683305	4	"Mediana"	"Urbana"	25	9	"Moderado"	"NaoAtivou"	"Neutra"	"Moderada"	178
"Outono"	"Sul"	2	1.1721694171827002	26	"Alta"	"Rural"	20	93	"Massivo"	"Ativou"	"Acida"	"Moderada"	596
"Verao"	"Centro-Oeste"	4	40.59948304997854	22	"Alta"	"Urbana"	10	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	172
"Verao"	"Sul"	1	3.958174006948246	34	"Alta"	"Urbana"	20	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	75
"Outono"	"Nordeste"	6	66.31628572015718	7	"Mediana"	"Urbana"	25	37	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	165
"Outono"	"Sudeste"	4	26.925507319824913	15	"Mediana"	"Urbana"	1	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	82
"Inverno"	"Sul"	2	1.5896500726392029	33	"Alta"	"Urbana"	22	97	"Massivo"	"Ativou"	"Acida"	"Moderada"	546
"Inverno"	"Norte"	10	13.452578680658826	-5	"Baixa"	"Urbana"	12	25	"Forte"	"NaoAtivou"	"Base"	"Moderada"	153
"Primavera"	"Centro-Oeste"	5	43.45004877255673	27	"Alta"	"Rural"	11	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	157
"Outono"	"Nordeste"	7	63.077786998094126	0	"Baixa"	"Urbana"	29	31	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	154
"Verao"	"Sudeste"	2	32.427325171570246	18	"Mediana"	"Urbana"	4	79	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	128
"Primavera"	"Nordeste"	6	61.151576020975014	3	"Mediana"	"Rural"	25	20	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	170
"Primavera"	"Nordeste"	7	64.89547975879115	5	"Mediana"	"Urbana"	28	16	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	109
"Outono"	"Sudeste"	3	25.074439027736986	17	"Mediana"	"Urbana"	2	99	"Massivo"	"Ativou"	"Acida"	"Forte"	542
"Verao"	"Nordeste"	6	65.22103518720846	8	"Mediana"	"Rural"	25	11	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	131
"Inverno"	"Sudeste"	3	33.08254376445701	18	"Mediana"	"Urbana"	9	76	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	130
"Verao"	"Nordeste"	7	67.82529924528012	4	"Mediana"	"Urbana"	27	9	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	179
"Inverno"	"Centro-Oeste"	4	40.504528417909725	21	"Alta"	"Urbana"	10	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	144
"Outono"	"Nordeste"	8	67.10638619165229	9	"Mediana"	"Urbana"	29	19	"Moderado"	"NaoAtivou"	"Base"	"Forte"	144
"Verao"	"Norte"	12	19.339497218132614	-15	"Baixa"	"Rural"	13	21	"Forte"	"NaoAtivou"	"Base"	"Moderada"	164
"Outono"	"Centro-Oeste"	6	43.67059737765065	24	"Alta"	"Urbana"	10	18	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	120
"Primavera"	"Nordeste"	8	69.58623516878187	6	"Mediana"	"Urbana"	29	38	"Forte"	"NaoAtivou"	"Base"	"Forte"	235
"Outono"	"Sudeste"	4	25.040646917434113	15	"Mediana"	"Urbana"	5	77	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	137
"Inverno"	"Nordeste"	7	66.99309462861869	0	"Baixa"	"Rural"	26	20	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	163
"Outono"	"Centro-Oeste"	5	40.77298274145531	23	"Alta"	"Urbana"	10	102	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	60
"Primavera"	"Centro-Oeste"	4	40.543246424264474	25	"Alta"	"Rural"	11	1	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	125
"Outono"	"Nordeste"	6	64.67026509308347	6	"Mediana"	"Urbana"	29	3	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	176
"Verao"	"Centro-Oeste"	4	40.19873104663545	20	"Mediana"	"Urbana"	10	12	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	137
"Primavera"	"Norte"	10	12.711892371519504	-5	"Baixa"	"Urbana"	12	6	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	175
"Outono"	"Nordeste"	8	64.50969980188351	4	"Mediana"	"Urbana"	27	3	"Moderado"	"NaoAtivou"	"Base"	"Forte"	124
"Primavera"	"Nordeste"	8	65.26851123992093	8	"Mediana"	"Urbana"	27	31	"Forte"	"NaoAtivou"	"Base"	"Forte"	185
"Inverno"	"Centro-Oeste"	11	41.37273579933462	25	"Alta"	"Urbana"	11	11	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	122
"Primavera"	"Nordeste"	7	60.771374082031144	9	"Mediana"	"Urbana"	28	29	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	210
"Outono"	"Nordeste"	8	64.47745373680284	3	"Mediana"	"Rural"	25	14	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	119
"Verao"	"Norte"	12	15.169737955202569	-11	"Baixa"	"Rural"	25	127	"Furacao"	"Ativou"	"Base"	"Moderada"	543
"Inverno"	"Sul"	0	1.8957556875328416	29	"Alta"	"Rural"	21	115	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	97
"Inverno"	"Nordeste"	8	62.33710857316966	2	"Mediana"	"Rural"	28	8	"Moderado"	"NaoAtivou"	"Base"	"Forte"	109
"Inverno"	"Nordeste"	7	67.9585209003303	6	"Mediana"	"Rural"	26	17	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	149
"Outono"	"Norte"	10	15.056731841066604	-10	"Baixa"	"Rural"	13	17	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	155
"Verao"	"Centro-Oeste"	4	41.597112299220676	25	"Alta"	"Urbana"	10	5	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	149
"Inverno"	"Sudeste"	2	27.170085647635503	15	"Mediana"	"Urbana"	25	86	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	53
"Inverno"	"Nordeste"	8	66.99299248014086	4	"Mediana"	"Urbana"	26	38	"Forte"	"NaoAtivou"	"Base"	"Forte"	222
"Primavera"	"Sul"	14	3.466066387347741	31	"Alta"	"Rural"	21	92	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	134
"Outono"	"Centro-Oeste"	4	42.3824946889628	23	"Alta"	"Urbana"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	112
"Inverno"	"Sudeste"	4	26.495002028105304	19	"Mediana"	"Urbana"	6	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	131
"Outono"	"Sudeste"	2	30.0660649408602	17	"Mediana"	"Urbana"	9	72	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	143
"Verao"	"Sudeste"	3	26.64452497941515	19	"Mediana"	"Urbana"	25	91	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	118
"Outono"	"Nordeste"	6	68.35974175406577	2	"Mediana"	"Urbana"	26	36	"Forte"	"NaoAtivou"	"Acida"	"Forte"	173
"Primavera"	"Norte"	9	18.597371923304657	-12	"Baixa"	"Rural"	12	4	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	158
"Verao"	"Centro-Oeste"	13	41.71076624250676	27	"Alta"	"Urbana"	11	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	115
"Outono"	"Sul"	2	1.6001733973149026	30	"Alta"	"Rural"	21	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	107
"Primavera"	"Sudeste"	4	30.100034270722904	18	"Mediana"	"Urbana"	9	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	143
"Primavera"	"Nordeste"	6	67.73843981221594	0	"Baixa"	"Urbana"	26	21	"Forte"	"NaoAtivou"	"Acida"	"Forte"	218
"Primavera"	"Nordeste"	8	64.78292161069024	1	"Mediana"	"Urbana"	25	5	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	115
"Verao"	"Centro-Oeste"	6	44.025012251088555	24	"Alta"	"Urbana"	11	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	174
"Primavera"	"Nordeste"	6	64.34076593532545	4	"Mediana"	"Urbana"	27	13	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	108
"Inverno"	"Sudeste"	3	25.166604140172325	19	"Mediana"	"Urbana"	7	80	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	130
"Outono"	"Nordeste"	7	66.40658843165741	7	"Mediana"	"Urbana"	25	11	"Moderado"	"NaoAtivou"	"Neutra"	"Moderada"	109
"Primavera"	"Nordeste"	8	61.11734116022506	2	"Mediana"	"Urbana"	27	18	"Moderado"	"NaoAtivou"	"Base"	"Forte"	115
"Primavera"	"Norte"	10	14.914667835469242	-13	"Baixa"	"Urbana"	24	11	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	105
"Outono"	"Nordeste"	8	61.974636500867014	6	"Mediana"	"Rural"	25	17	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	104
"Inverno"	"Norte"	10	12.943245185336131	-10	"Baixa"	"Rural"	12	27	"Forte"	"NaoAtivou"	"Base"	"Moderada"	205
"Verao"	"Sudeste"	2	34.7019312304469	17	"Mediana"	"Urbana"	22	86	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	89
"Primavera"	"Norte"	2	17.474549650209916	-11	"Baixa"	"Urbana"	13	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	110
"Primavera"	"Norte"	10	18.594949296465735	-13	"Baixa"	"Rural"	13	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	132
"Primavera"	"Norte"	10	11.736768489515201	-7	"Baixa"	"Urbana"	12	17	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	140
"Inverno"	"Norte"	9	10.748933491694299	-14	"Baixa"	"Rural"	12	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	172
"Inverno"	"Nordeste"	6	63.02061159267992	4	"Mediana"	"Rural"	26	29	"Forte"	"NaoAtivou"	"Acida"	"Forte"	151
"Primavera"	"Nordeste"	8	64.52337930271025	4	"Mediana"	"Rural"	26	1	"Moderado"	"NaoAtivou"	"Base"	"Forte"	163
"Primavera"	"Sudeste"	10	28.735388943173824	16	"Mediana"	"Rural"	4	80	"Muito Forte"	"NaoAtivou"	"Base"	"Muito Forte"	134
"Verao"	"Norte"	11	14.513652593194307	-12	"Baixa"	"Rural"	13	18	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	104
"Primavera"	"Sul"	1	4.0451978478387876	31	"Alta"	"Urbana"	23	118	"Furacao"	"NaoAtivou"	"Acida"	"Moderada"	474
"Verao"	"Sudeste"	3	26.68818135799356	18	"Mediana"	"Urbana"	29	79	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	123
"Primavera"	"Norte"	11	16.21481378385373	20	"Mediana"	"Urbana"	12	126	"Furacao"	"NaoAtivou"	"Base"	"Moderada"	458
"Outono"	"Sudeste"	2	25.419246294923735	18	"Mediana"	"Rural"	8	91	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	90
"Inverno"	"Sul"	2	1.6282136884257667	34	"Alta"	"Rural"	20	118	"Furacao"	"Ativou"	"Acida"	"Moderada"	541
"Primavera"	"Sul"	2	3.3051095022853776	27	"Alta"	"Rural"	21	108	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	96
"Outono"	"Sul"	2	1.3258828178335706	25	"Alta"	"Urbana"	24	21	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	157
"Verao"	"Norte"	11	15.665693386772436	-12	"Baixa"	"Urbana"	12	121	"Furacao"	"NaoAtivou"	"Base"	"Moderada"	519
"Verao"	"Nordeste"	8	65.01854932511176	2	"Mediana"	"Rural"	27	13	"Moderado"	"NaoAtivou"	"Base"	"Forte"	173
"Outono"	"Nordeste"	6	68.77463609813327	2	"Mediana"	"Urbana"	26	35	"Forte"	"NaoAtivou"	"Acida"	"Forte"	172
"Primavera"	"Sudeste"	2	33.11380744519344	19	"Mediana"	"Rural"	22	82	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	68
"Outono"	"Sudeste"	3	28.36023438039172	15	"Mediana"	"Urbana"	9	82	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	76
"Verao"	"Nordeste"	6	61.30817306328796	3	"Mediana"	"Rural"	26	29	"Forte"	"NaoAtivou"	"Acida"	"Forte"	219
"Primavera"	"Centro-Oeste"	11	43.08847625730397	22	"Alta"	"Rural"	11	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	140
"Primavera"	"Nordeste"	7	60.34487450364237	2	"Mediana"	"Urbana"	27	26	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	242
"Verao"	"Sul"	0	3.6192118679333323	26	"Alta"	"Urbana"	20	22	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	191
"Inverno"	"Nordeste"	8	61.8939616104436	5	"Mediana"	"Rural"	26	37	"Forte"	"NaoAtivou"	"Base"	"Forte"	166
"Outono"	"Sul"	0	1.5695131363341774	33	"Alta"	"Rural"	22	103	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	120
"Inverno"	"Sudeste"	2	25.684368236084737	15	"Mediana"	"Rural"	5	70	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	141
"Inverno"	"Sudeste"	2	31.807330146196612	18	"Mediana"	"Urbana"	7	76	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	128
"Inverno"	"Norte"	10	10.543484659649295	-9	"Baixa"	"Rural"	13	109	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	94
"Primavera"	"Norte"	12	14.723462731712985	-12	"Baixa"	"Urbana"	12	8	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	104
"Outono"	"Norte"	13	12.982536042181023	-7	"Baixa"	"Rural"	25	14	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	101
"Outono"	"Sul"	2	3.7540002640923165	34	"Alta"	"Rural"	23	98	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	53
"Inverno"	"Norte"	4	14.811288946906565	-10	"Baixa"	"Rural"	24	128	"Furacao"	"NaoAtivou"	"Acida"	"Moderada"	523
"Verao"	"Norte"	9	11.864392732324376	-12	"Baixa"	"Urbana"	13	108	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	110
"Inverno"	"Sudeste"	4	26.022864932334294	19	"Mediana"	"Urbana"	5	74	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	145
"Verao"	"Norte"	10	17.330195389317776	32	"Alta"	"Urbana"	13	22	"Forte"	"NaoAtivou"	"Base"	"Moderada"	166
"Verao"	"Nordeste"	7	60.43093406335114	2	"Mediana"	"Urbana"	26	30	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	214
"Outono"	"Norte"	11	16.28789059183783	-12	"Baixa"	"Rural"	24	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	122
"Verao"	"Sul"	2	1.477463974105774	32	"Alta"	"Urbana"	22	93	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	103
"Outono"	"Sul"	1	3.2189904327464633	34	"Alta"	"Rural"	21	115	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	74
"Verao"	"Sudeste"	3	31.95070562347251	16	"Mediana"	"Urbana"	7	77	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	125
"Inverno"	"Nordeste"	8	68.605929670441	1	"Mediana"	"Rural"	27	18	"Moderado"	"NaoAtivou"	"Base"	"Forte"	134
"Inverno"	"Norte"	10	10.73928739237311	-15	"Baixa"	"Rural"	12	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	143
"Outono"	"Sudeste"	2	33.27907776349854	19	"Mediana"	"Urbana"	4	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	73
"Inverno"	"Centro-Oeste"	4	44.755050515784156	22	"Alta"	"Rural"	11	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	166
"Verao"	"Sudeste"	2	34.60038589374973	16	"Mediana"	"Urbana"	3	78	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	147
"Outono"	"Norte"	9	14.976183357549795	22	"Alta"	"Rural"	12	21	"Forte"	"NaoAtivou"	"Base"	"Moderada"	153
"Outono"	"Centro-Oeste"	4	44.78697602733632	27	"Alta"	"Urbana"	10	15	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	156
"Primavera"	"Nordeste"	6	67.13460152619426	1	"Mediana"	"Urbana"	25	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	156
"Verao"	"Sudeste"	4	31.200984096312826	15	"Mediana"	"Urbana"	25	83	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	138
